(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[37.416565478396926, 36.04884008782705, 35.312027523879976, 33.9993654155667]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[38.04651983292469, 38.03990835477839, 38.65469990620184, 37.960584713374466]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[39.1047399118507, 38.45153992670125, 38.29768142640709, 38.547810061518945]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[35.64798220109552, 35.73558368280963, 38.92934331621414, 35.83074871757165]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[36.53217953728958, 38.725417505946844, 36.42172157409009, 35.70507462644398]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[35.49953835950632, 35.80848215082792, 39.45177998435433, 35.77977802570976]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[36.6641913570389, 36.269236282036225, 36.68804285048955, 37.7100236119834]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[38.384565218463344, 38.82489136162816, 38.14818035506702, 38.31167057897224]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[37.36544454565283, 36.962477546870794, 36.83769544660237, 38.55520544632145]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[37.75724541809192, 37.76544492884793, 38.80553223588398, 37.75694506833486]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[36.12885166590329, 36.66728778245936, 39.109289203508084, 37.723991123508554]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[34.64250593957077, 35.35384159754806, 34.6220422413684, 38.36521098973385]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[35.45468576153247, 38.55209343117863, 34.52316039570964, 35.634366636695766]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[34.314079761924056, 34.70286305765509, 38.819864377124105, 35.34315790801736]
(3, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[39.80632286529634, 37.82105560506446, 38.11254339529124, 38.00146199723265]
(3, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[37.4613236043644, 39.00627067537026, 37.46063315537962, 37.50230791879419]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[37.494218458560894, 35.28588657663121, 35.306522612744835, 35.72884459298106]
(2, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[39.17063440389613, 38.02953770388561, 38.0046645717656, 38.11094385591737]
(2, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[39.07055416765313, 39.117674688216795, 39.02397246376444, 40.819418737758056]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.11240189043046, 48.20307640509234, 47.989502082353276, 47.99287182095806]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[45.864382711579445, 45.86130694538073, 45.88647876427598, 45.88020575100641]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[46.491215152427074, 46.24774645604268, 45.73151568815068, 46.22893428427524]
(2, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[36.90604726992082, 36.74941660429642, 36.837184147140526, 36.85347841155086]
(1, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0);[35.25196827756561, 34.82748688827624, 34.48931837012056, 36.26504895394503]
(1, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0);[37.16277230344632, 34.922743074457664, 34.76675375361434, 35.11420061151981]
(3, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[35.34852214412984, 35.376083725846215, 35.36070259823614, 37.95532324946544]
(3, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[35.73502980290355, 35.7673067705429, 39.299426729782574, 35.82526188445613]
(2, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[36.60751353253563, 36.64480749909441, 36.73322988528986, 37.78247810705107]
(2, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[37.29764678597932, 34.942171472261194, 35.19936628949759, 34.87171271473648]
(1, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[39.058432469994386, 39.65653082460325, 38.92477430536045, 38.99796537560092]
(2, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[34.549579883447144, 34.480695969388215, 34.69826602610957, 36.40810617815947]
