(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.26359913496222, 0, 0, 0]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.94225014030319, 49.15266637757327, 49.170980682864865, 49.11237625840041]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.60092158132089, 49.45283390002311, 49.720689790523835, 49.74853058879282]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[46.64041676537291, 46.707129471423514, 46.7076950123315, 46.81112634336761]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[46.85119204113115, 46.86741675224754, 46.90679440996618, 46.866145509811005]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[47.31571721712061, 47.40453721034773, 47.91882146271322, 47.3878192220703]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[46.57660101461482, 46.269370475330746, 46.24751141605902, 46.23253662933987]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.73220063963837, 46.59967296713206, 46.57880727571413, 46.54891191126921]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[43.64544687549351, 48.01160956569827, 46.74724417633673, 46.91761125157756]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.796186352669295, 46.83664141350718, 46.84126018023929, 47.23618703583744]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.491877875157535, 47.37965862310135, 46.51441385838103, 46.488633932841424]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.918772955, 46.71948252105221, 47.28201241445767, 46.70179865898587]
(1, 1.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0);[49.94, 49.94, 49.92112734283029, 50]
(0, 0.0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0);[49.959379999999996, 49.939, 49.94, 49.94]
(0, 0.0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0);[49.925, 49.929, 50, 50]
(0, 1.0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.9, 49.90309, 49.8772741211933, 50]
(0, 1.0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1);[49.5009690304899, 49.492295198617505, 49.45504043858437, 49.44582224104226]
(1, 0.0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1);[49.529792261099146, 49.563269584748205, 49.52376069571711, 49.56749840944303]
(1, 1.0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1);[49.79246640961659, 49.824, 49.872418511482365, 49.823433809481955]
(0, 0.0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1);[49.50888767372699, 49.45570904251805, 49.47136979231657, 49.48720857460887]
(2, 0.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.44999503204111, 49.47678562237612, 49.44345990056046, 49.48889751869997]
(2, 1.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.7193775544281, 49.77217471, 49.757081, 49.84383991183836]
(0, 0.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.46693713241843, 49.50925554143737, 49.545579543554915, 49.53155254177982]
(0, 1.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.64567203728395, 49.69836059699999, 49.6575731966526, 49.61529720934902]
(1, 0.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.78990500646782, 49.78021993, 49.8176889212775, 49.79020993]
(1, 1.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.93, 49.93, 49.93, 50.127961295142825]
(1, 0.0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.796134, 49.754229094, 49.7831639, 49.76933852]
(1, 1.0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.843, 49.900999999999996, 49.915, 49.621668387920316]
(0, 0.0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1);[49.908, 49.923899999999996, 49.95820801, 49.93]
(0, 0.0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1);[49.74563115997737, 49.87048861283, 49.86388460902547, 49.8484221751242]
(3, 0.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0);[49.97831248290787, 50, 50, 50]
