(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[44.732131163524066, 4.496654594921028, 12.155405790140643, 4.482939642132772]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.97056267682966, 48.03652860518068, 48.34166855229145, 47.917531527447295]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.594059682697676, 48.87809364399705, 48.57894284189271, 48.704428290862786]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[45.08160613335035, 45.09177136949177, 45.63856888532489, 45.07811306206362]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[45.1866133236927, 45.18801372418777, 45.178078359963465, 45.18517476422012]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[45.78072689804873, 45.77923232384451, 45.79246939090618, 45.74776359686947]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[44.8844037443127, 44.41881688959203, 44.42498084705072, 44.458106644021235]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[44.77258754813951, 45.79317967204481, 44.40981706783798, 44.3554039513519]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[43.828757359567334, 44.42231583030012, 44.405623607925584, 45.45415543490779]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[44.802292125975036, 44.78012119895168, 44.82333499816304, 45.21993503831212]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[44.431336383860774, 46.22360148017099, 44.29179240810711, 44.30876199385289]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[44.601579595622155, 44.59113727627191, 44.5883559111706, 45.53695875986608]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[44.363403046903414, 44.84132204899501, 44.8050100299021, 44.47877628921499]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[42.70918567459618, 44.34942907115085, 45.57220442290113, 44.38821319936755]
(1, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.2743347030048, 46.04058612342044, 46.067800376786266, 46.13681081066463]
(1, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.490701352660736, 48.336975511451705, 48.3579149254611, 48.4643486116123]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.76507038185371, 46.112918601800054, 45.773013370849895, 45.73628710023725]
(2, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.23865340181605, 46.205916086511564, 46.24528549322032, 46.280545682597264]
(2, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[43.90875440941019, 43.97523964607871, 43.956218262258325, 43.92365046454221]
(2, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[44.61613459802552, 44.486151004463274, 44.50267031083487, 44.54259282094623]
(3, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.599147601057595, 46.633752230067635, 46.75117468168737, 46.61036269967803]
(3, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.241826665864664, 45.984554152080484, 46.235101832563835, 46.23082711147049]
(3, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[45.27393810527399, 45.23013124791171, 45.258675924105525, 45.30439582183571]
(3, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[45.46990346776263, 45.59926013312124, 45.59048865384598, 45.62604254606168]
(2, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.326925664635866, 47.34342799163841, 47.23631946308043, 47.36936278977974]
(1, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0);[49.905, 49.332290078826766, 50, 50]
(1, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0);[44.27247398232783, 44.14451256697596, 44.17389333507093, 44.14711424759446]
(1, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[44.19559035486581, 44.256604814861625, 44.24632268815751, 44.21661123620443]
(1, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[44.82815000376577, 44.781983000049244, 44.78703836005515, 44.80025849172847]
(3, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0);[44.472318134287626, 44.43022738874875, 44.44930455178006, 44.50590309457723]
(2, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.82377588877594, 47.12870545478605, 46.88039075271826, 46.85410153019279]
(3, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[44.567203406327565, 44.568951786452544, 44.52780839076909, 44.502979570228725]
(3, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[45.08735888726717, 45.14487785452502, 44.97266133939528, 45.10843702235078]
(1, 1.0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0);[51.161248364932305, 50, 50, 50]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.240729758449646, 48.50898568417967, 48.2904927568883, 48.27833197884313]
(3, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0);[44.39512521942419, 44.40564049362941, 44.365833719675265, 44.35296603095567]
(1, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0);[43.72131497796899, 43.70155198388207, 43.7177903103051, 43.695551432602166]
(2, 1.0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0);[51.873199732780044, 50, 50, 50]
(1, 0.0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0);[49.93, 49.92016386311779, 49.993954, 50.61846442928538]
(1, 1.0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0);[50.617, 50, 50, 50]
(0, 0.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.85522302748377, 50, 50, 50]
(2, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[49.80827717662983, 49.50399671068733, 49.48513079975979, 50]
(2, 0.0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0);[50.36018412092364, 49.92, 49.89746094170886, 49.914]
(0, 0.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.841884, 50, 50, 50]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.458447377883694, 49.43096553107836, 49.400634296225306, 49.44598479338309]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.57107350117451, 49.54757586117153, 49.231309970394015, 49.59735433806927]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.51595037434669, 49.49921751722848, 49.500885574749454, 49.524843948091096]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.58875823486062, 49.670649350324936, 49.60271239131183, 49.64266290261862]
(2, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.776152192799444, 45.931892124356345, 45.702664783945714, 45.61715126800769]
(1, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.88692016354547, 49.89709, 49.37213411974265, 49.39309010773375]
(3, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0);[49.8780800766264, 49.27341470638539, 49.70674229973478, 49.43830286567599]
(2, 1.0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.75370691549708, 49.8936, 49.42414543970303, 49.937]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.919, 49.8924683589638, 50, 50]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.68498630515499, 49.674317222549995, 49.6933916524078, 49.65089862575]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.755254914999995, 49.77596687830079, 49.74537501800306, 49.81668199517646]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.71783986749999, 49.6751162530808, 49.71164778885001, 49.6837159431582]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.841377236199996, 49.785204935, 49.60901803521361, 49.8358425612109]
(0, 0.0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.3681620378549, 49.41994224785679, 49.006106625133654, 49.448357246575895]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[48.85686925450227, 48.67908623634608, 48.53524001086688, 48.98089332867486]
(2, 1.0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0);[50.632, 50, 50, 50]
(0, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.52231856997819, 49.68674489975413, 49.73810425495232, 49.689357054593856]
(1, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.783387426694425, 49.839447768804504, 49.35946600825951, 50]
(3, 1.0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0);[51.51221256254792, 50, 50, 50]
(0, 0.0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.98308775666879, 49.8589, 49.859, 49.80705478203685]
(0, 1.0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0);[49.892, 49.900999999999996, 50.3215583194338, 50]
(0, 1.0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[49.89, 49.924, 51.315270702925126, 50]
(1, 0.0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[49.84005307897593, 49.7911, 49.82584947267836, 49.9]
(1, 1.0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[49.9, 49.9, 50.235798915641666, 50]
(0, 0.0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0);[49.91238877767357, 49.83240517290947, 49.81753208336917, 49.83799588118821]
(2, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.647729919216445, 48.60175118749826, 48.54032720448045, 48.774621252399115]
(1, 0.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.108891274626075, 48.830155037825016, 48.79237022232513, 49.37654784740779]
(0, 1.0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.86007, 49.8530103324845, 49.92880464546672, 49.93]
(3, 0.0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.75807985585894, 49.72604477404315, 49.74078525685372, 49.7198177226]
(3, 0.0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0);[49.883, 50, 50, 50]
(3, 1.0, 1, 0, 2, 0, 1, 0, 2, 0, 1, 0, 2, 0, 1, 0, 2, 0);[49.907, 50, 50, 50]
(2, 1.0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[50.295, 50, 50, 50]
(0, 0.0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.361185, 50, 50, 50]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.735267432499995, 49.69443292499999, 49.738364831001, 49.68549314223518]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.8321423944805, 49.8539061260535, 49.303815361789546, 49.860074999999995]
(3, 0.0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0);[50.21741965154483, 49.93, 49.93736330993629, 49.92]
(0, 1.0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.203878615299, 48.95037529100423, 49.271606119152835, 49.114498663299905]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.730203768529826, 49.63116981225582, 49.62483223761212, 49.55769027201805]
(2, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[48.70865081777004, 49.00443853809948, 48.884998754403156, 48.95203151793812]
(3, 1.0, 2, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0);[50.327914206091954, 50, 50, 50]
(1, 0.0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.776821204404534, 49.79338200028654, 49.78701106135591, 49.844]
(1, 1.0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.924, 49.918, 50.50887174674524, 50]
(0, 0.0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0);[49.888618559, 50, 50, 50]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.917, 49.912585, 49.88255073948878, 49.878726948087504]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.5126787521458, 49.47357047747937, 49.48149499021569, 49.49957608376243]
(3, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.53698781315628, 49.5608350989787, 49.554667749594614, 49.596018601074555]
