(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[7.166398971678434, 5.622092507824036, 4.922020847964715, 4.771246457223008]
(0, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.7917967122340567, 0, 0.10319324881608086, 0]
(0, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.483014206175418, 0, 0, 0]
(0, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[1.9370561736036698, 0.005697918648969536, 0, 0.018408932969985133]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[0.12699547732836625, 0.0, 3.8610830320171554, 0]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[0.033036310938835585, 0, 0, 0]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[0.0, 0, 1.1475180554421704, 0]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[1.4055581386303382, 0, 0, 0]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[8.466785199868209, 0, 0.7751929486680367, 0.6450606608961393]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[8.509576494434402, 1.5605342115659502, 0.14234801356924962, 0]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.3134238652328947, 7.104472909144712, 2.383940412090421, 0.9084774186139737]
(1, 0.0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.5964393162305885, 0, 0, 0]
(1, 1.0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.36758594989257304, 0, 0, 0]
(0, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0);[0.30584216389251073, 0, 0, 0]
(0, 1.0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0);[0.11715285911555379, 0, 0, 0]
(0, 1.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0);[0, 0, 0.40529356085741114, 0]
(2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[0.6065667704017541, 0.03193960974212997, 0.03998594772663047, 0]
(2, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[0.7789503222906333, 0, 0.06648071642312085, 0]
(0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[1.5126521034257774, 0.07080308774465582, 0.07273145139484383, 0.09493718760771491]
(0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[0.7999307207479279, 0.036685223000815656, 0.3404410374081401, 3.197954602276487]
(0, 1.0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0);[0.3945858506733362, 0, 0, 0]
(0, 1.0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0);[0.008656029069873944, 0, 0.3301406631394876, 0]
(2, 0.0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0);[0.3911051288035579, 0, 0.06084356883885336, 0]
(0, 1.0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[0.0679425025840183, 0, 0, 0]
(0, 1.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0);[0.10133968717342433, 0, 0.0, 0]
(0, 1.0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0);[0.07470199926787427, 0, 0, 0]
(2, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0);[0.02485544640667176, 0, 0, 0]
(2, 1.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0);[0, 0, 0, 0.0706724188132121]
(3, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[2.037301309950996, 0.0007979398532731634, 0.024984055317851576, 0]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.364155412351295, 0, 0.2645558876798342, 0]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[7.714125963801961, 0.6158469728156845, 0, 0.0007979398532731634]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[6.849567236577837, 5.83073171624269, 6.724665654324148, 2.950869442628834]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[6.971598799013811, 3.653967344118732, 3.0598602975498483, 0.365219681262045]
(0, 0.0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.5260849464306078, 0, 0, 0]
(0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.20517164430743856, 0, 0, 0]
(0, 1.0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.09645779461653534, 0, 0, 0]
