(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[2.999271058483415, 4.778482399674552, 7.7149735574201905, 4.975401132826723]
(0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-8.029176361945565, -10.162597305024976, -2.6326884372363946, -11.140961356444267]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-2.7403873682943853, -2.8388853124514393, 8.734032526301531, -2.8376284598742365]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-3.82993579162739, -3.810891969431658, 10.522190603982185, -3.866365748043851]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-3.923503230806595, -4.021894706870503, -2.2080340213902394, -4.003687787399288]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-2.6332023819720876, -2.775802552583373, 7.1283381095719225, -2.4059872651843985]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-1.2053744266883197, 18.847870854433395, -3.0502517061134498, -3.088875707331399]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[3.3739630883654117, 4.038373285147845, 4.3732509550818275, 1.3215777516983613]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[4.960563340483144, -4.409997857224562, -7.407580190932354, -3.1255733432838255]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[2.2821162661760424, -0.004508339356308566, 4.872199006725978, 6.67479852626899]
