(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[13.95554518447859, 15.210506913184917, 16.42136287601311, 15.196990616664108]
(0, 0.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[13.236960378449126, 13.214087745694378, 13.229072530190884, 15.58779815408172]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[13.425504361264807, 15.842382575921992, 16.580725003097186, 13.330143561536985]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[12.239881393685263, 12.269092828807022, 12.505911089300707, 16.153819922526264]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[14.494921957085156, 14.137469341646188, 15.901056163770207, 14.31829554948914]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[10.072749670538808, 9.996733525936278, 10.127730066951933, 14.529487536330654]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[12.122666453641079, 12.188920744971385, 17.992647467630064, 12.170279975785444]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0);[13.348337504802592, 13.216166520931695, 16.281948024332575, 13.309114163614971]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0);[14.668527659930032, 14.552523476073151, 15.770213685751537, 14.832796557440307]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[10.284524347185652, 15.760818054917527, 10.49928550249001, 10.870052743978544]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[13.529887011784469, 13.255465819406023, 19.67438805430106, 13.483335761403705]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[11.167731871131389, 11.363835725280781, 16.480065077802365, 10.994767677166916]
