(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.05547583393001906, 0.03139153750719202, -0.05058908128396642, -0.054232988139592896]
(0, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.17363974676460162, -0.18515808289229388, -0.0839620546045699, -0.17642723058377058]
(0, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.1996192705985688, -0.19698556523722385, -0.1283453498120818, -0.1984648188672693]
(0, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.07243385603146442, -0.18372736557612987, -0.1624507468946858, -0.18401829565847996]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[0.010161607765645335, -0.03371500000000001, 0.2996731599662704, -0.037941355]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.08072323987999659, -0.07678003782548638, -0.06440227539597958, -0.020508970023131755]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.020000000000000007, -0.019999999999999997, 0.28035663897617824, 0]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.1383829573617782, -0.10271187947599288, -0.12058986871134328, 0.12163192040403745]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.04634486650986114, 0.031772518436483085, 0.0668510907561907, 0.03764904777882205]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.043874814304401884, 0.19706092695459626, 0.03724665677582706, 0.02875891653733395]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.030159967684427837, 0.033443718198638075, 0.09138468214630446, 0.012696007547216694]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.08615795799206899, -0.08297730316883167, -0.08214164147663515, -0.027636763304717482]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.039448350665500835, 0.03314348221736437, 0.12545468841457386, 0.02846987748809087]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.11698486523635275, -0.1241225860253906, -0.001737647261886275, -0.11360897911202031]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.05706283650687108, -0.010302713795457025, 0.13275336240258656, 0.0543856014414064]
(3, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.2336059736836141, -0.2358900065565821, -0.21283773601150024, -0.22594181215794062]
(3, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.11772393764270137, -0.21029632789201194, -0.15269527009519945, -0.1699823042482298]
(0, 0.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.15645622715816868, 0.09997824511962349, -0.14641337148169348, -0.16427055133669427]
(1, 0.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.29338071509637864, -0.2993485920884233, -0.3071630241228146, -0.29668545776594296]
(1, 0.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0);[-0.15548879684402317, -0.1517251612774042, -0.1627978536407756, -0.1602774215490374]
(1, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0);[-0.0525932084108173, -0.049975000000000006, -0.021809346375084922, -0.047265317472123945]
(3, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.0331423680524131, -0.16236932971899853, -0.14543678500011303, -0.16108085095155694]
(3, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.11723979699938225, 0, -0.005005151180625102, 0]
(1, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0);[-0.32470269443835964, -0.3335973078253704, -0.32495935630406236, -0.32974990252971526]
