(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.18743493164049885, 49.621963955043796, 0, 0]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.53609385162656, 49.52668268675834, 49.54120167342421, 49.54049359384073]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.084256289275956, 49.09811060466091, 49.105391154535596, 49.31313793326873]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.4970821012253, 49.32467422875409, 49.06799817084772, 49.06557896204799]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.09339902089169, 49.10755138055883, 49.11853279547734, 49.152274909064644]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.93647890930237, 49.151205952056365, 49.14471156572558, 49.17821255074383]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.30064787454462, 49.034732920066446, 49.03086428197331, 48.999542663967254]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.88259590207899, 49.85289180529525, 49.81544932946861, 49.8091079203917]
(3, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.892603651458224, 49.87561972843935, 49.90589143290683, 49.88725602932235]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.4505112131261, 49.47481035899743, 49.45334811964223, 49.46764351389505]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.54750283351069, 49.524367612030034, 49.4925057647387, 49.51978629658107]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.532414903914855, 49.58906314886028, 49.544193498339574, 49.55453855537428]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.62316038219147, 49.619847373100015, 49.634765612503664, 49.584726804462704]
(2, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.76054356854856, 49.77156126597728, 49.72688232509395, 49.76484514401031]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.28618527018834, 49.05123141589514, 49.08859636174435, 49.062470620748805]
(3, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.03204430904425, 49.980911454901104, 49.9688047993649, 49.92715029057485]
(3, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.977050086567964, 50, 50, 50]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.801036948737774, 49.80725746695423, 49.78203996995821, 49.743439242046094]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.583027276662456, 49.56269478650665, 49.61983087998854, 49.54587225111338]
(3, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.59264583397714, 49.63317209595064, 49.629162113567844, 49.60996888405454]
(3, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.6695219393753, 50.008589877293765, 50, 50]
(0, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.793424878321474, 48.7116167841453, 49.65861303451862, 49.00611361733271]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.84857835814173, 49.88896235442353, 49.89953997221664, 49.904720409620545]
(3, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.74029760514754, 49.70396788399863, 49.6889678566357, 49.72874116768575]
(3, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.05515328422621, 49.85602736337754, 49.83444965942395, 49.81181589619001]
(1, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.980709559884126, 49.95936006103322, 49.972681127535104, 49.93712005658856]
