(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.06542872551256, 0, 0, 0]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.47126364482334, 49.50742018515198, 49.546853267876315, 49.54753269833681]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.96902901051938, 49.961378609224944, 49.92016094268752, 50.001679701320015]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.15271484640477, 49.14064734569786, 49.12770796062882, 49.136531950370426]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.14715536874304, 49.180366720339286, 49.14469110080907, 49.18566127854677]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.26383902502196, 49.239065687096634, 49.248504883413716, 49.21498759872841]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.95315992038992, 48.971952991219254, 48.982443514758465, 48.96846373694347]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.91848811402945, 48.93681302921301, 49.091885920806625, 48.91123953859367]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.49906304487362, 49.19785152167348, 48.9375475833783, 48.92923792207762]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.73142856291249, 49.660264823671135, 49.713575174220395, 49.72425877198969]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.015238280270296, 49.00517603048542, 49.03168386175313, 49.049802296419244]
