(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[35.76514086290973, 0, 0, 0]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.93224674482494, 49.98019083352582, 49.964695736797786, 49.9501406915907]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.96752181398058, 50.027521048037904, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.91931852616512, 49.87290008475297, 49.91808463287693, 49.872685263480186]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.88460615180219, 49.88901942886239, 49.8729620674285, 49.90005]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.8851985531265, 49.88630237056755, 49.912804251824234, 49.902445105001505]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.88522007683425, 49.92371393082083, 49.90005146879086, 49.89432983852096]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.80786850720911, 49.926260246947024, 49.79406178315271, 49.794676467024416]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.49906393746679, 49.855157316272184, 49.89003186618189, 49.92067983748129]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.90005, 49.900968481295216, 49.94465902933532, 49.935064752625316]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.90931831125167, 49.898147393042464, 49.86892017620788, 49.90005]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.93875838617639, 49.95, 49.986188261858416, 49.94073185461121]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.90119047480788, 49.95752335408279, 49.85647598744035, 49.89549289669508]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.44249867387274, 49.90005, 49.91343011297537, 49.98124831115597]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.89459842395657, 49.915120200946575, 49.912682514025306, 49.87180105760369]
