(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-22.14838561317319, -21.68778072246093, -13.568167973131555, -21.74300076131124]
(0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-27.259039358157587, -27.351231376549904, -27.72185498932287, -24.812135356241168]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-20.43762475318882, -20.515769784772942, -20.44054324593693, -20.560616430060605]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-19.59004314582657, -19.428238789029994, -19.644426097343235, -19.630329959938305]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-21.807890377670518, -21.427311520305786, -20.50182872803353, -21.244458457522835]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-21.364719978614595, -21.374505635570443, -19.93206650974362, -21.375738476427415]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-20.193898434132002, -20.87616462243009, -20.702367237486634, -21.15789614658882]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-22.070252154256842, -22.07621806858133, -21.95447604999421, -20.44853652357449]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-22.4181889734998, -22.29368506271718, -14.920434626415618, -22.242071845241277]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-18.321769815922675, -23.02405250662539, -23.170705727439586, -23.576288082555767]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-22.760909714397346, -23.307146612443887, -16.552524640511464, -22.760953928929673]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-20.129527575229606, -19.101980191595203, -19.794961059806294, -19.827829937468568]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-21.161173467472317, -19.25339705647408, -21.13884856171733, -21.132684297697317]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-19.203585488906146, -20.139527756180453, -20.43857106965726, -20.563099507126445]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-20.75635714479343, -20.756823171377896, -20.27159624399447, -21.108071710018827]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-21.318173591328986, -21.2394746135927, -18.602941285581473, -21.25425660977047]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-20.744381494368923, -21.107099856119405, -21.23846875966594, -21.199496822661928]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-20.65745494877874, -20.748804353133373, -20.315748675482013, -20.76704289807992]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-22.494384007649415, -22.868180354823586, -23.02660303392683, -23.201505116723105]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-22.403464993597883, -22.1942709173379, -21.086146419539336, -21.865259366055124]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-18.135207847416368, -18.52001017270701, -18.18456217895219, -18.0753230407662]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-15.122418753070084, -14.714908879883764, -14.430896188081938, -14.645629003290578]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-23.27215098054065, -19.736394116685183, -23.3304783047816, -23.624386034145477]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-19.352687398510536, -22.255007617311655, -22.27445738533847, -22.237260254247303]
(0, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-27.03983271773124, -26.123255038460634, -27.190600326056874, -27.18528188146144]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-19.31745438716206, -19.8456188908195, -19.97965644234538, -19.86489886134447]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-10.229058094409861, -10.624536895920613, -10.240320258951627, -9.617110193731758]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-19.618561130881698, -20.943761396841605, -21.04802248741329, -20.98496374117188]
(3, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-20.29935326679353, -19.849570662497708, -19.854094264846175, -20.277405687584896]
(1, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-3.1398064005757527, -2.6760132631740436, -3.530217102906722, -3.8638639126358996]
(1, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-4.834104500233381, -4.838797449924979, -6.276993729701307, -5.160957933647168]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-20.553163626075378, -20.332449135923426, -20.65488236748025, -20.49402740144018]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-21.034085372034532, -20.95141668784692, -20.838879289963835, -21.31416761326967]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-22.046611055847652, -22.19953159986297, -22.16140876490915, -21.607746482229093]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-20.12274270041964, -20.24892007581563, -20.368558942620393, -20.192919946075193]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-20.844758064466976, -20.239246967543924, -21.181892815627815, -21.285197287590595]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-20.575990666198162, -20.82117195436941, -20.126564708847155, -20.87532915048928]
(1, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-22.56842140517162, -27.501811149782018, -27.863191500123776, -27.536115988666644]
(1, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0);[-24.176659976015205, -23.704909343562182, -24.296109326181046, -24.172010349377246]
(1, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0);[-23.551006450155192, -23.818086242495607, -23.51396939980446, -23.78956223654519]
(1, 0.0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0);[-12.74637487736023, -12.845035114208287, -12.773305617693442, -11.816045364983935]
(1, 1.0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0);[-10.568227513293374, -10.686017003547084, -10.447622487830655, -12.754816103351716]
(1, 1.0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-9.356614568119248, -9.11802323875489, -9.496210857059957, -10.095767319428347]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1);[-13.310003197997695, -13.12297526611187, -13.045079475291296, -13.040077600861572]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1);[-10.618932805418506, -10.18662870397072, -10.140579802768587, -10.257525128470794]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1);[-10.853208047044557, -11.305311031755773, -10.701446374942808, -11.369885558953536]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1);[-11.811444878235326, -11.16350895090554, -11.214005735047003, -11.773510038872226]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1);[-11.165610716521318, -11.237152819091083, -10.791575156651884, -10.849084976966578]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1);[-10.883123876320916, -10.59962722220767, -11.09387194685849, -11.41627428789271]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1);[-12.292820103289554, -13.360052216025526, -13.050900726413024, -13.495818866317009]
(2, 0.0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-9.54892492691878, -8.812980348909255, -9.216358763268664, -8.834310507093855]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-14.761108511076204, -14.661246739184698, -14.841662790012602, -14.373906081258582]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-15.2190085578073, -15.197170988180558, -15.186228781622004, -15.22854201546707]
(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-14.950611666946067, -14.772438325863165, -15.146445501493378, -15.066655668684762]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-16.068642152913817, -15.67559831996912, -15.729161077494437, -16.327309481395922]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-14.806106347279774, -14.717448163354128, -14.83543338163765, -14.943378252455329]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1);[-13.646291367223515, -13.792053541415333, -13.860644173018855, -13.768516520342367]
(1, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-24.669141064006517, -24.43905637919348, -24.64705584153913, -22.56536283845772]
(2, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-18.40483662053603, -18.392889834634065, -18.188378790507183, -16.788375748647972]
(2, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-13.09531047079373, -14.954003259601912, -14.728634292469064, -14.508585567426808]
(1, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-16.750551180704335, -16.90112146916136, -16.70226612681745, -16.756925557123704]
(3, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-25.817456855844252, -22.618799542560556, -25.882601925848448, -25.494171641151375]
(1, 0.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-7.727660543652736, -7.106257728168846, -6.878424627543923, -6.988192615425236]
(1, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-7.528443432983277, -6.096279295239102, -6.102104968615091, -7.1705627649078005]
(0, 0.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-15.233128718623432, -15.506133658256859, -15.364237811504623, -15.367411649321957]
(2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-20.89291870126768, -19.084701218213127, -21.028145163555898, -20.96510534907174]
(2, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-18.266376882168586, -21.003736135891113, -20.99217520732569, -20.937402434806454]
(0, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-18.553855643486514, -14.404743346030726, -18.177506758649002, -18.741318279377474]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-20.120100966636898, -19.94217367595752, -20.241497902104992, -19.89218828091831]
(2, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-27.43086450090647, -27.109954778194506, -27.50097914692347, -25.43682269576583]
(2, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-19.78344761831739, -19.951752707209174, -19.821349630821402, -19.205288840433283]
(1, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-12.768047039098615, -12.502831736030585, -12.924673253964782, -12.43371868715955]
(2, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-27.698892194860676, -26.55970261870768, -27.93248154737483, -27.59537112740427]
(3, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-20.055187697775477, -20.058589742861923, -19.922618301467725, -19.868034210661463]
(3, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-17.876409497684637, -17.552005437385183, -17.666053754938794, -17.321420558678682]
(1, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-9.937980577319495, -8.293940752670157, -8.974684916018777, -9.191604812843924]
(3, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0);[-23.471358143815753, -23.66781087280566, -22.91326409777015, -23.663131728359986]
(3, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0);[-23.23017945626866, -23.827059176707735, -23.541660337194056, -23.623121492565655]
(1, 1.0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0);[-18.323888278669116, -18.51882720358851, -18.37575399081949, -18.60236871965806]
(2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-21.543317145584755, -21.568740097828695, -21.197399432232935, -21.688040803386208]
(1, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-20.567198211492123, -21.487655906662848, -21.339052694472034, -21.348135677091655]
(1, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-19.658443764178582, -20.42676028177435, -20.4288121111472, -20.470657100756792]
(2, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-18.934598964430133, -20.050739910887614, -19.885913903993508, -19.969762764266722]
(1, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-12.981110822750928, -12.366892509001522, -12.94136104343002, -12.664761746894786]
(1, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-18.562376084730975, -18.683877696927592, -18.63442260260673, -18.7049471363984]
(1, 1.0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[-4.415474430522659, -4.795245587014856, -4.252160099998037, -3.9975280307166488]
(3, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-24.96454049398187, -27.386621283122945, -27.53244735792684, -27.63029795448854]
(3, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-21.416128429910902, -21.380221273351662, -18.87968711568957, -21.27325947066548]
(3, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-19.224520820945024, -20.948297955584284, -20.97658512933773, -21.027300207364966]
(1, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[-20.39232255305042, -20.289055338474146, -20.39647155147064, -19.345107309256942]
(1, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[-20.11839758337349, -20.25293945210535, -19.8458151466909, -20.19064412455169]
(2, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-19.374296485260984, -19.51438731800345, -17.43276546654829, -19.388818457321157]
(2, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[-18.680695483409824, -19.47373765182537, -20.38848543924166, -20.3390560742286]
(3, 1.0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0);[-18.30096907666707, -17.79595385827407, -17.803383247059077, -17.953760447521237]
(3, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-4.799238998385096, -6.218105962158855, -4.281051448559978, -5.290767437968886]
(2, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[-20.16701847387605, -20.106840677344444, -16.35798946507076, -20.25508212702343]
(3, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[-19.633598595035487, -20.968628064784724, -21.013786014235762, -21.058016132165868]
(3, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0);[-19.656901717771085, -20.305335733215124, -20.365798627497707, -20.31170256280198]
(3, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-13.394240863577481, -13.228325627038192, -14.14441521056446, -13.512386529570943]
(3, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-20.23898676441052, -20.328336014495186, -19.472728440428504, -20.45695511954734]
(3, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-21.887462620514075, -21.985685106243785, -21.724014160885886, -21.789818233081473]
(3, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-20.33925202371632, -20.001788712425835, -20.02116233094635, -20.430980173994225]
(1, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-12.33294008595958, -12.740577239324452, -12.879943620940471, -12.326250542694707]
(3, 1.0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-14.715165268798312, -14.850072202220039, -15.05067867651925, -14.502167393648948]
(0, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-18.467118379136803, -19.02448850969052, -18.91310212394179, -18.97919250804619]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-19.044966238034526, -18.629819340985712, -18.753793371250307, -18.727709091078076]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-18.95296469605473, -18.731301071243614, -18.4436992880486, -18.4268002064129]
