(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-33.40883762932881, -29.215797220419002, -33.38055100420401, -33.357452358413944]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-40.50632025478178, -36.64416055349929, -40.508653034257186, -40.435553446563766]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-35.78412345642159, -36.88953162356387, -36.742076288226926, -36.78109358607145]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-31.884187504058524, -31.818353764998403, -31.972217913056582, -32.00400295011601]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-29.140147306476575, -31.46795499037439, -31.25661196213743, -31.365519277340915]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-29.560218207912595, -31.63950892528946, -31.89112471268178, -31.94487407529923]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-30.924873666930917, -30.98762803295289, -30.98140742217236, -30.48258359061746]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-29.006092244620287, -33.99137707449738, -33.97077430242584, -34.03340834003955]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-34.83269134721258, -29.040280423333, -34.62594974606023, -34.401568875527474]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-33.67738875668119, -34.148165893707066, -30.187580040874288, -34.39387257924342]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-33.74049881671811, -30.255730242214355, -33.68130834100934, -33.684977069508136]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-32.30633981260833, -33.42598392099554, -33.55505798029921, -32.88140114184777]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-34.508927855907125, -32.36690265232235, -34.49387779324052, -34.41377639333647]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-34.57690712922559, -34.323304447039376, -32.23821809076467, -33.57503952559335]
(1, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-13.171095651041467, -12.96482985833666, -11.915488378767645, -13.127759086525876]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-33.22252756035132, -33.34610362746695, -33.37252974404962, -29.494081920643886]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-31.918261835297304, -25.45733062688179, -32.26902257655791, -31.9010301187037]
(2, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-37.65836499051721, -32.089150598161346, -37.914555577243135, -37.93497518713592]
(3, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-28.508308174626347, -28.652830869553334, -28.80487640332872, -28.724974539613292]
(3, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-27.299535011227256, -23.98886252660227, -26.890999583856257, -26.78460017154723]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-35.981712316258594, -35.407888321751095, -35.39178374043683, -35.08041368350344]
(1, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-29.73204230799388, -30.119726976024666, -29.892962134321397, -30.194264266927842]
(1, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-31.43184669934775, -30.97707341540773, -31.034484676997604, -27.71113055866804]
