(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.550000000000001, 0, 0, 0]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.845, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.25, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[60.37073030701424, 50, 50, 50]
(0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[51.05, 50, 50, 50]
(0, 1.0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[51.605000000000004, 50, 50, 50]
(0, 1.0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0);[52.379325, 50, 50, 50]
(0, 1.0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[67.9281117454421, 50, 50, 50]
(0, 1.0, 0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[53.958695, 50, 50, 50]
(0, 1.0, 0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 3, 1, 0, 1, 1, 0);[52.865, 50, 50, 51.15]
(0, 1.0, 1, 0, 3, 1, 0, 1, 1, 0, 0, 0, 3, 1, 0, 1, 1, 0);[53.208635, 50, 50, 50]
(3, 0.0, 0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 1, 0);[50.75, 50, 50, 50]
(3, 0.0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 1, 0);[50.65, 50, 50, 50]
(3, 1.0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 1, 0);[50.65, 50, 50, 50]
(0, 0.0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 1, 0);[51.425, 50, 50, 50]
(0, 1.0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 1, 0);[62.84502203306847, 50, 50, 50]
(0, 1.0, 0, 0, 4, 0, 0, 2, 1, 0, 0, 0, 3, 0, 0, 1, 1, 0);[52.89855, 50, 50, 51.25]
(3, 0.0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 2, 1, 0);[52.475, 50, 50, 50]
(3, 1.0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 2, 2, 0);[51.25, 50, 50, 50]
(0, 0.0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 2, 2, 0);[52.375, 50, 50, 50]
(0, 1.0, 0, 0, 4, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 2, 2, 0);[76.01895493156182, 50, 51.15, 50]
(2, 0.0, 0, 0, 3, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2, 1, 0);[50.85, 50, 50, 50]
(2, 0.0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0);[50.05, 50, 50, 50]
(2, 1.0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0);[50.25, 50, 50, 50]
(0, 0.0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0);[50.25, 50, 50, 50]
(0, 0.0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0);[50.45, 50, 50, 50]
(0, 1.0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0);[51.435, 50, 50, 50]
(0, 1.0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 1, 2, 0, 0, 3, 0, 0);[67.05607506133059, 50, 50, 50]
(0, 1.0, 0, 1, 3, 1, 1, 3, 0, 0, 0, 1, 2, 0, 0, 3, 0, 0);[52.544999999999995, 50, 50, 50]
(0, 1.0, 0, 1, 3, 1, 0, 3, 0, 0, 0, 1, 3, 1, 0, 3, 0, 0);[52.005, 50, 50, 50]
(0, 1.0, 0, 1, 3, 1, 0, 3, 1, 0, 0, 1, 3, 1, 0, 3, 0, 0);[53.398875000000004, 50, 50, 50]
(0, 1.0, 0, 1, 3, 1, 0, 3, 1, 0, 0, 1, 3, 1, 0, 3, 1, 0);[50, 50, 50, 51.25]
(3, 0.0, 0, 1, 3, 0, 0, 3, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0);[51.905, 50, 50, 50]
(3, 1.0, 0, 1, 3, 0, 0, 3, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0);[51.15, 50, 50, 50]
(0, 0.0, 0, 1, 3, 0, 0, 3, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0);[52.375, 50, 50, 50]
(0, 1.0, 0, 1, 3, 0, 0, 3, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0);[71.50912295882917, 50, 50, 50]
(0, 1.0, 0, 1, 4, 0, 0, 3, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0);[53.985, 50, 50, 50]
