(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.550000000000001, 0, 0, 0]
(0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.745, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.25, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[59.67449768236115, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[50.95, 50, 50, 50]
(0, 1.0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0);[51.15, 50, 50, 50]
(0, 1.0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0);[51.05, 50, 50, 50]
(0, 1.0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0);[50.85, 50, 50, 50]
(0, 1.0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1);[64.20497507823553, 50, 50, 50]
(0, 1.0, 0, 1, 2, 0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1);[52.185, 50, 50, 50]
(0, 1.0, 0, 1, 2, 0, 0, 0, 2, 1, 0, 1, 2, 0, 0, 0, 2, 1);[60.001077887607934, 50, 50, 50]
(0, 1.0, 1, 1, 2, 0, 0, 0, 3, 1, 0, 1, 2, 0, 0, 0, 2, 1);[53.225, 50, 50, 50]
(0, 1.0, 0, 1, 2, 0, 0, 0, 3, 1, 0, 1, 2, 0, 0, 0, 2, 1);[51.35, 50, 50, 50]
(0, 1.0, 0, 1, 2, 0, 0, 0, 3, 1, 0, 1, 2, 0, 0, 0, 3, 1);[67.86091542522448, 51.55, 50, 50]
(1, 0.0, 0, 1, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1);[51.15, 50, 50, 50]
(1, 0.0, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1);[53.043004999999994, 50, 50, 50]
(1, 1.0, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1);[52.192505, 50, 50, 50]
(0, 0.0, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1);[53.99650054999999, 50, 50, 50]
(0, 1.0, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1);[53.639055, 51.15395, 50, 50]
(0, 1.0, 1, 0, 2, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 3, 1);[53.305, 50, 50, 50]
(0, 1.0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 4, 1);[51.55, 50, 50, 50]
(0, 1.0, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 4, 2);[119.36446735413607, 50, 50, 52.35]
(0, 1.0, 0, 0, 2, 0, 1, 0, 4, 2, 0, 0, 2, 0, 0, 0, 4, 2);[60.002550989419994, 50, 50, 50]
(0, 1.0, 0, 0, 3, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 4, 2);[52.05, 50, 50, 50]
(0, 1.0, 0, 0, 4, 0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 4, 2);[52.05, 50, 50, 50]
(0, 1.0, 0, 0, 4, 0, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0, 4, 2);[52.65, 50, 50, 50]
(0, 1.0, 1, 1, 4, 0, 0, 0, 5, 2, 0, 0, 4, 0, 0, 0, 4, 2);[54.635, 50, 50, 50]
(0, 1.0, 0, 1, 4, 0, 0, 0, 5, 2, 0, 1, 4, 0, 0, 0, 5, 2);[54.497749999999996, 50, 50, 52.45]
(3, 0.0, 0, 1, 4, 0, 0, 0, 5, 2, 0, 1, 4, 0, 0, 0, 5, 1);[52.05, 50, 50, 50]
(3, 0.0, 0, 1, 4, 0, 0, 0, 5, 1, 0, 1, 4, 0, 0, 0, 5, 0);[51.65, 50, 50, 50]
(3, 1.0, 0, 1, 4, 0, 1, 0, 5, 0, 0, 1, 4, 0, 0, 0, 5, 0);[51.65, 50, 50, 50]
(0, 0.0, 0, 1, 4, 0, 0, 0, 5, 0, 0, 1, 4, 0, 0, 0, 5, 0);[53.325, 50, 50, 50]
(0, 1.0, 0, 1, 4, 0, 0, 0, 5, 0, 0, 1, 4, 0, 0, 0, 5, 0);[76.05908563739358, 51.75, 50, 50]
(1, 0.0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 5, 0);[52.565, 50, 50, 50]
(1, 1.0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 5, 0);[51.45, 50, 50, 50]
(0, 0.0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 5, 0);[52.755, 50, 50, 50]
(0, 1.0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 5, 0);[57.262175218695, 50, 50, 50]
(0, 1.0, 1, 0, 4, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 0, 5, 0);[52.05, 50, 50, 50]
(0, 1.0, 1, 0, 4, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 0, 6, 0);[51.95, 50, 50, 50]
(0, 1.0, 0, 0, 4, 0, 1, 0, 6, 0, 0, 0, 4, 0, 0, 0, 6, 0);[50, 50, 51.95, 50]
(2, 0.0, 0, 0, 3, 0, 2, 0, 5, 0, 0, 0, 2, 0, 0, 0, 4, 0);[51.35, 50, 50, 50]
(2, 0.0, 0, 0, 2, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0);[50.35, 50, 50, 50]
(2, 1.0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0);[50.45, 50, 50, 50]
(0, 0.0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0);[50.45, 50, 50, 50]
(0, 0.0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0);[50.05, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0);[49.65, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0);[49.95, 50.1623155855, 50, 50]
(1, 0.0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0);[50.272045831899995, 50, 50, 50]
