(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[13.97879674145728, 0, 0, 0]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.745, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.25, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[51.44835055, 50, 50.05, 50]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.85, 49.85, 50.45, 50]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.64945, 50, 50, 50]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[52.21269836977108, 50, 50, 50]
(0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50, 50, 50, 50.55]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.665, 50, 50, 50]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[50, 50, 50.15, 50]
(2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.45, 50, 50, 50]
(2, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.202870495, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[51.139505, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0);[50.35, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0);[50.755, 50, 50, 50]
(0, 1.0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0);[58.89437770114094, 50, 50, 50]
(0, 1.0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0);[52.449054999999994, 50, 50, 50]
(0, 1.0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0);[65.57311145219568, 50.85, 50, 50]
(1, 0.0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[50.45, 50, 50, 50]
(1, 0.0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[50.15, 50, 50, 50]
(1, 1.0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[50.15, 50, 50, 50]
(0, 0.0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[50.285, 50, 50, 50]
(0, 1.0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[50.885, 50, 50, 50]
(0, 1.0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0);[51.999325000000006, 50, 50, 50]
(0, 1.0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 1, 0);[51.435, 50, 50, 50]
(0, 1.0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0);[62.46513184424677, 50.65, 50, 50]
(0, 1.0, 1, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0);[51.464885, 50, 50, 50]
(1, 0.0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0);[50.665, 50, 50, 50]
(1, 1.0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0);[50.45, 50, 50, 50]
(0, 0.0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0);[51.113520839885005, 50, 50, 50]
(0, 1.0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 3, 1, 0, 0, 2, 0);[53.315, 50, 50, 50]
(0, 1.0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 4, 2, 0, 0, 2, 0);[90.56283387297418, 50, 51.75, 50]
(2, 0.0, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 1, 0);[50.95, 50, 50, 50]
(2, 0.0, 0, 0, 3, 2, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0);[50.25, 50, 50, 50]
(2, 1.0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0);[50.05, 50, 50, 50]
(0, 0.0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0);[50.45, 50, 50, 50]
(0, 0.0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0);[50.55, 50, 50, 50]
(0, 1.0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0);[69.789493630331, 50, 50, 50]
(0, 1.0, 0, 0, 2, 3, 0, 2, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0);[53.235, 50, 50, 50]
(0, 1.0, 0, 0, 2, 3, 0, 2, 0, 0, 0, 0, 2, 3, 0, 1, 0, 0);[51.65, 50, 50, 50]
(0, 1.0, 1, 0, 2, 3, 0, 2, 0, 0, 0, 0, 2, 3, 0, 1, 0, 0);[51.55, 50, 50, 50]
(0, 1.0, 0, 0, 2, 3, 0, 2, 0, 0, 0, 0, 2, 3, 0, 2, 0, 0);[84.8951850226226, 50, 50, 50]
(0, 1.0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 2, 3, 0, 2, 0, 0);[53.885, 50, 50, 50]
(0, 1.0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 3, 3, 0, 2, 0, 0);[52.05, 50, 50, 50]
(0, 1.0, 0, 0, 3, 3, 0, 3, 1, 0, 0, 0, 3, 3, 0, 3, 0, 0);[55.9875, 50, 50, 50]
(0, 1.0, 1, 0, 3, 3, 0, 3, 1, 0, 0, 0, 3, 3, 0, 3, 0, 0);[52.683125, 50, 50, 50]
(0, 1.0, 0, 0, 3, 3, 0, 3, 1, 0, 0, 0, 3, 3, 0, 3, 1, 0);[51.95, 51.95, 50, 50]
(1, 0.0, 0, 0, 3, 3, 0, 2, 1, 0, 0, 0, 3, 3, 0, 1, 1, 0);[51.35, 50, 50, 50]
(1, 0.0, 0, 0, 3, 3, 0, 1, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0);[50.95, 50, 50, 50]
(1, 1.0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0);[50.85, 50, 50, 50]
(0, 0.0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0);[51.615, 50, 50, 50]
