(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[21.049699816966005, 16.016539969396984, 15.953453108385673, 16.09427300116032]
(0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[20.220569537849023, 17.428227100250574, 17.431323342356357, 17.27954385665015]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[15.760497849055644, 15.919226357149169, 16.904247188370753, 16.05233363648393]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[14.648411636582573, 14.61769034383542, 18.295023907059033, 14.845506458897404]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[13.357862848260464, 15.678501779876818, 13.45842888504222, 13.423382108029044]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[15.947266319236212, 15.91024613935366, 17.474081798666457, 15.963497233431918]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[11.211876146498025, 11.277196072218318, 11.155005498505934, 12.782726910536628]
(0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[17.388066416765838, 17.641051690291928, 17.415692062111322, 17.379458544815137]
(0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[37.522691187550976, 37.67325783500302, 39.199157587150175, 38.517843612127365]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[20.195635689235257, 15.388480250385998, 14.908533758802136, 15.09651900748186]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[17.783608511311503, 16.041751239861476, 15.543795468817002, 15.85206307878806]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[15.800650037315298, 24.845512172106037, 15.53615202956103, 15.800406426015318]
