(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-3.091381906819829, -3.107241261570824, -3.143400262300123, 6.146018651405565]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[8.9848547481781, -2.3224037932971013, -2.2215838115245, -1.9854534680873654]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-2.4436511942604504, 3.006741772860423, -2.5280285314680424, -2.8814534839513137]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-4.213637211514245, -4.500078572572006, -3.0959986630378307, -4.521574177533751]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-7.0956456437431825, -6.782262943786688, -6.834864377612128, -7.317842593804337]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-4.8810014334203515, -5.021632455381891, -2.5604336278460664, -5.42348494767147]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-4.686983105133601, -6.316743757329072, -6.2561808285491525, -6.170643968120437]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-6.022268885446383, -5.737842544556811, -5.762629721454809, 0.9990914291568519]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.608924997666482, -3.2111987761858694, -3.2937198211354, -3.1716717393506073]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-3.229276948887084, -3.2623539944667894, -3.1909094386046797, 9.06880448743573]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-3.5476408322450785, -3.893084534497534, -3.976463827730421, -3.8529440372972488]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.04237610429659522, -2.909088131236677, -3.05862373372631, -2.9630981872989173]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-4.51538360848776, -4.484356152995813, 8.233015016568727, -4.5508911407084485]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.222305667635721, -3.225783156682765, -3.19750705556185, -3.2600648255755296]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-4.53832038244437, -4.642580841647276, -4.635063161289026, -4.373209758224664]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-2.845214702747913, -1.6642630116822947, -2.437425046677938, -2.5613379065243165]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-7.631196643192153, -7.521541516016508, -7.530348345669259, -7.673283898461815]
(3, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[32.082284793615855, 30.703587648220076, 29.931371320012612, 29.71772477776677]
(3, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[29.595554173033566, 33.19282974439767, 30.549017920256468, 32.296950566392674]
(2, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[4.066201878706692, 3.619783669733172, 4.188648516465491, 4.184865088179259]
(2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[4.032865101628983, 3.9011235238279998, 3.854075776879685, 9.397171948432185]
(2, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[4.435639127245545, 0.4787348199190674, 0.35635524721481626, 0.22492430650214157]
(2, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-1.2281460092579, -0.30253317076303055, -1.4926118820318321, -1.280927997135644]
(2, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[2.5343144034146188, 4.218316448825393, 2.685700903825487, 2.526441501065083]
(0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.9350482792637874, 2.652667803350354, 0.9591542912958679, 0.859160297939193]
(3, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[8.721290558276507, 10.73649585310058, 9.114391717735659, 8.176746038369489]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-3.1928118721262506, -3.11478128899616, -3.1910665551177018, 4.615753581142728]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-1.0576708974731368, -1.4678799994699347, -0.732607998970965, -0.967909843905747]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-5.199746932102457, -5.188815943593808, -4.815844204388059, -5.2027542708351895]
(1, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[29.22313301050928, 30.700751898248857, 31.10317648365541, 32.13149217617383]
(1, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[12.159171441087773, -0.27847954251486967, -0.30552014183136056, -0.3795702996525777]
(1, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[1.5850485661239127, 0.5804161679277693, 0.4186991452058004, 0.5301664901968063]
(1, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[15.507443351507613, 5.06847478451325, 5.265720420067633, 4.945807023368453]
(2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-1.1173290199716575, -1.166587859256798, -1.2618118835208325, -1.3597635945508244]
(3, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[-1.125980005681559, -1.2909253549939061, -1.2192675097450512, -1.5157427479153278]
(3, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[3.2581606071276923, 1.137618941537162, 1.1188640339075855, 0.9647098730173563]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.738854923444113, 4.780187524750665, 5.639224785197302, 4.983008499987592]
(3, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[1.4071015676729892, -1.5022141221909129, -1.4853038652767447, -1.383016030506536]
(0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[26.15948525023962, 26.18397538618032, 28.919513000179123, 29.131304010510533]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-1.524684346976064, -1.1468135562143835, -1.2514145796361382, 0.5059896742020742]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-3.034999793211539, -3.279420804946719, -2.8727143399919615, -2.96040556034311]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[0.7771054035942954, -1.2481529227103478, -1.5471018464089843, -1.3430407983178905]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[11.184026826303302, -2.011491263293184, -2.371931746181092, -1.9643851726370203]
(1, 0.0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[49.45, 49.15, 49.15, 49.75]
(1, 1.0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0);[49.45, 50, 50, 50]
(0, 0.0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[49.48269485, 44.496929747360916, 45.83704883553777, 50]
(3, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.119579250663476, 5.098280659947215, 15.748510624493502, 4.723136909144138]
(2, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[40.74213342006846, 45.35631454219893, 45.33107265346425, 42.65265489657215]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0);[4.09880038533667, 4.216647546332031, 5.4462746792587975, 4.417483856059876]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0);[6.222401646839407, 6.4756576198281115, 5.4137903631811, 6.771804559114942]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-5.852481629373103, -5.838880254531951, -6.245453153614156, -6.154749754689516]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-3.6944669810583335, -3.5214777117478047, -3.279155279842175, -4.045565700624795]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-6.922586009264824, -7.158531834323856, -6.954412030852741, -6.6950593287277025]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[-4.216768960322305, -3.6851037160672666, -2.994933061477615, -4.221863899047368]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[3.9232869084055575, 3.7165264567175753, 3.0193727481763073, 6.244003848538709]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.005144123197665, 4.583681792653197, 5.338361974499739, 4.520510905189249]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-1.458226572352864, -1.3850128398598147, -1.367901649796457, -1.207212316862528]
(1, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[41.3826454266562, 40.605322423754046, 39.380068606349994, 38.856367222939916]
(1, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[43.149142687678115, 43.091290019178956, 42.81255864701762, 42.96315288705219]
(1, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[36.73801285776784, 36.63291583900592, 36.892284184667105, 38.14245822754501]
(3, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0);[18.187761612260527, 17.521489063099295, 17.694982894182807, 18.181347163431294]
(3, 1.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0);[17.345684085312055, 21.458043443550626, 16.952386818738063, 17.10934906837743]
(3, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0);[7.536861854425148, 5.955850042040778, 6.812204999242648, 7.5987059151905925]
(1, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[5.453752017638504, 5.775035827070996, 5.750457916998536, 9.480191270358034]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[3.248130092732997, 2.917946918233565, 2.990957776994387, 4.724116256146019]
