(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0121085036837996, 0.11729943519568634, 0.0038667856807537166, 0.033560276609835724]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.004757145154469455, 0.21605289492071705, -0.004314395163543481, 0.005198864660577087]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0908448556642595, -0.03333475569910037, -0.03056238652609989, -0.029308083803805653]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.030142707220047776, -0.042104370957141556, 0.052033608556959154, -0.04903817763220931]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.04472984435933274, -0.046506807167885064, -0.052332893733832125, 0.014185594765760798]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-0.043170077919493094, -0.05270649459295515, 0.012655538238349372, -0.050157875217192574]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[0.00534192947779346, -0.03712615901104299, 0.22717792459036334, 0]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-0.06262560216604951, -0.06288555060476164, -0.05826975610007783, -0.06847621520350888]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[-0.025, -0.022953447496655236, 0.1809635191948034, 0.031299999999999994]
(2, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.018638806942970706, -0.020575778109147236, -0.01814323552727759, 0.03280721095815764]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0588499558720884, -0.02591932661279627, -0.007271988779941455, -0.0009617518535326281]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.02484684956610448, -0.019121703458809168, 0.0023374830155483083, 0.2028130596568513]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.021646232800150583, 0.023951493002795688, 0.272604533211899, 0.003469228312670228]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.030057530914537597, -0.0147998659111646, -0.008530604738878036, 0.19078574327077655]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.22719273327225198, 0.0702920871501964, -0.019966307867235973, 0.042914097454960276]
(3, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.15311770076625378, 0.0010036345456587552, 0, -0.00516219288891024]
(0, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.0008724848418000009, 0.12341915448431301, 0, 0]
(3, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.22929405262838082, -0.19270547339179425, -0.22508301376303885, -0.2341008160071409]
(3, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.08663852473264426, -0.050888843975448336, -0.024199437097133777, -0.016253986592720204]
(2, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.1018899552299877, -0.008704358980958114, -0.009899999999999999, -0.011000000000000001]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.12795317820995292, -0.03707346428630903, -0.11231251354559102, -0.13592352716447853]
(0, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.15514774973066017, 0, 0, 0]
(1, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.014999999999999993, -0.015000000000000003, -0.001894465757089067, 0.26365085873176564]
(0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.018000000000000016, 0.20183252519911749, -0.015959723499923268, -0.023195378499999995]
(0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[-0.046245816253684784, 0.05901656897210644, -0.04596894038404041, -0.052989163126275385]
(0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[-0.019999999999999997, -0.02948890293679275, 0.4347529006667546, 0]
(1, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[-0.02502438418036323, 0.007029661646665554, -0.029984999999999984, -0.028499999999999984]
(1, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[-0.029979999999999986, 0.006445305020283197, -0.015000000000000036, 0.3166710774141752]
(2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[0.08217658944855574, 0.580600608322163, -0.028500000000000032, -0.024984999999999993]
(2, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[-0.014999999999999993, -0.014999999999999993, -0.014999999999999947, 1.2197524578899124]
(3, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[0.05580258120246665, 0, 0, 0]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.018331950798749948, -0.026070378750248136, 0.17305952555224238, -0.025478704388216013]
(0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.009999999999999998, -0.01248500000000001, -0.008268163890966896, 0.18107564001976442]
(2, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.005000000000000002, -0.004999999999999999, -0.0030000000000000005, 0.4405397993241471]
