(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.02479009723282581, -0.022470681264532923, -0.017056953729594676, -0.023921130060003626]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.03107897911782216, -0.08009092058957774, -0.07862424075877161, -0.07837330201986084]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.09915242403855679, -0.10404970065217387, 0.04204391670931203, -0.09684403788297845]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.081874085978, -0.0744879967037515, -0.017879822042320526, -0.06682253781758804]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.08372330636519645, -0.18381226263274927, -0.1857104967888784, -0.18578320766150044]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.08656521473635627, -0.08787308198100001, 0.07615609030546024, -0.07916730783823832]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[-0.1340402308046687, -0.13385992557676593, -0.14138331643159577, -0.13467767333612635]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.08271413724774632, -0.15680997380634473, -0.15218376714211984, -0.15213260291242134]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.01593490528965629, 0.01677396325670754, -0.023867669113206667, -0.01911273998237295]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.016888906482891854, 0.15453628268604172, -0.020205239481306293, 0.0173317276918292]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.003328225272138741, 0.0964806250349947, -0.03891318980760207, -0.0102327024532416]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0011329145488939369, 0.04601474565435165, -0.004163007450857927, 0.2729550927517988]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.006629531466170588, -0.048951321539177424, -0.042040692466556416, -0.054926743092004925]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.23152839385987714, -0.03331585460395638, -0.016289830820155487, -0.016444049998845533]
(2, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[-0.07454468259916959, -0.07250271298113375, -0.08255681294279034, -0.07390546448425239]
(1, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.0254980124110992, -0.047154434813053446, -0.05392115627115534, -0.04800998011395391]
(1, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0);[0.26236786074645496, 0, 0, 0]
(0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[0.057343308110996735, 0.02251698974516869, 0, 0.027143242128189596]
