(0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.60909567382767, 0, 0, 4.939555]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.062790657930385, 48.959196807010564, 49.01740847379013, 49.0450842621028]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.648270390438924, 49.77369204374514, 49.48121633471105, 49.715318138335114]
(0, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.33468066003957, 48.36550593311252, 48.3721000173278, 48.37110109000059]
(1, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.39530326272843, 48.44016733264747, 48.39401574500003, 48.40371876939905]
(1, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.60805170394103, 48.69411651706521, 48.53510943027289, 48.60635075147249]
(0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.26716120986103, 48.298041884400845, 48.31460816733802, 48.29384628798209]
(2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.828382527096565, 46.781291892874734, 46.889221623537985, 46.809464711160885]
(2, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.48505, 47.05117104332389, 46.862560165110644, 46.85387471583795]
(0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[48.69315316061935, 48.516392578746824, 48.67743810135381, 48.524856810828794]
(1, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.848530882287314, 46.919548586652915, 46.878752482953345, 46.866510128917575]
(1, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[45.924713455, 47.34938439280949, 47.007511752298996, 47.03438685378867]
(1, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.945, 50, 50, 50]
(1, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.943, 50, 50, 50]
(1, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.94, 50, 50, 50]
(0, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.93, 50, 49.938, 50]
(0, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.926, 49.926, 49.841, 50]
(0, 1.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.925, 49.925, 50.037, 50]
(1, 0.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.92, 50, 50, 50]
(1, 0.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0);[49.916, 49.917, 49.915, 50]
(1, 1.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0);[49.924, 49.915, 50.068, 50]
(0, 0.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0);[49.92, 49.92, 50, 50]
(0, 1.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0);[49.918, 49.92, 49.988415, 50]
(2, 0.0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0);[50.04356, 50, 50, 50]
(2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.916471, 49.9196, 49.93, 49.925]
(2, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.94, 49.928, 49.925, 50.10443398067158]
(0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.94, 49.94, 49.94, 50]
(0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.94, 49.94, 50, 50]
(1, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.94, 49.94, 49.925, 49.925]
(1, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.94, 49.925, 49.925, 50]
(0, 1.0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.94, 49.934, 50, 50]
(1, 0.0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0);[49.916, 50, 50, 50]
(1, 0.0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.912, 50, 50, 50]
(1, 1.0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0);[49.938, 50, 50, 50]
(0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.92, 49.915, 50, 50]
(1, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.915, 49.915, 50, 50]
(1, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.917, 50, 50, 50]
(0, 0.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0);[49.915, 50, 50, 50]
(3, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[50.335, 50, 50, 50]
(3, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.91191562314045, 46.9308377503344, 46.92196931971221, 46.91334573201101]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.428069503950404, 49.410427458789826, 49.435050334722845, 49.43076706481922]
(3, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[42.423566244938, 47.383432584494294, 47.13135884420938, 47.12466661197717]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.945, 49.943, 49.925, 49.94549069746]
(1, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.871118858064996, 49.862073, 49.93854370637726, 49.882167100000004]
(0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.70487667354522, 49.651359044166, 49.68683308308724, 49.6723459606776]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.63030368988443, 49.611377577001335, 49.49901795214776, 49.65057419022809]
(1, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.679503516995375, 49.69185970867999, 49.662319027663386, 49.70534751102855]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.885, 49.938, 49.91607, 49.94]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.938, 49.89989762290423, 50, 50]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0);[49.924, 49.935, 49.938, 49.90491032]
(0, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[48.961697043746526, 48.97798980049127, 49.00971077654957, 48.99637192631444]
(0, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.108010013777196, 49.140498246121766, 49.124261556746085, 49.07564033084004]
(1, 0.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.01402733087268, 49.03930094318493, 49.05634948800105, 49.0213527613831]
(1, 1.0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0);[49.181838999954714, 49.14954881070302, 49.026365291229, 49.196528308888546]
(2, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.534430462792635, 49.4184303689329, 49.568588955106534, 49.432685218513086]
(2, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.04056899507823, 49.00139459589247, 49.08822196843544, 48.910758091397234]
(2, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[46.996499065043174, 49.59175790061402, 49.31739807019652, 49.60280650648931]
(1, 1.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.61279291476961, 49.59454363730878, 49.737615072085546, 49.619032582060925]
(0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[47.42307411060351, 46.781706307500194, 46.708817139781914, 46.72158302550671]
(0, 1.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.935, 49.933, 49.87215832053104, 50]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.38340767001868, 49.36758954473312, 49.24706133062647, 49.30570247826942]
(3, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.467650658306994, 48.49147497894767, 48.46662199037559, 48.45150266965887]
(3, 1.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0);[48.525420764991416, 48.56251041213403, 48.526934754412196, 48.56402756395867]
(2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0);[49.147105639577184, 49.13344319816087, 49.14672766345444, 49.00369704682643]
